mode,repetition,priming_ok,ping_success,evidence_level,t_dispatch_enter_ns,t_pre_ctypes_ns,c_entry_ns,c_decision_done_ns,c_table_write_done_ns,c_install_done_ns,c_exit_ns,t_post_ctypes_ns,t_packetout_sent_ns,t_confirmed_ns,installed,confirmed,trial_order,t_parse_done_ns,t_state_update_done_ns,t_decision_done_ns,t_flowmod_sent_ns
persistent,4,1,1,measured_emulation,389131883682,389131941058,389131951934,389131952309,389131952767,389131978518,389131978601,389131980310,389131997394,389133767198,True,True,66,,,,
persistent,16,1,1,measured_emulation,396438353504,396438493924,396438508842,396438509383,396438509925,396438524217,396438524259,396438525592,396438546134,396440700992,True,True,67,,,,
persistent,5,1,1,measured_emulation,403729100337,403729161672,403729172631,403729173048,403729173548,403729213341,403729213382,403729217091,403729235966,403731406699,True,True,68,,,,
reactive_osken,10,1,1,measured_emulation,408586414661,,,,,,,,408586612042,408590537577,True,True,69,408586493789,408586495622,408586496039,408586600375
process_per_rule,6,1,1,measured_emulation,413537898323,413538282418,413538365253,413538367003,413538368045,413552752894,413552753061,413552758269,413552803437,413555646856,True,True,70,,,,
process_per_rule,24,1,1,measured_emulation,418376150411,418376227830,418376244164,418376244747,418376245080,418386582265,418386582473,418386588765,418386635392,418389446684,True,True,71,,,,
persistent,29,1,1,measured_emulation,425715819474,425715950978,425715975103,425715976228,425715976978,425716114899,425716115066,425716121608,425716163442,425718989235,True,True,72,,,,
process_per_rule,26,1,1,measured_emulation,430534982039,430535166503,430535183087,430535183920,430535184462,430545150467,430545150634,430545155426,430545190052,430546959271,True,True,73,,,,
persistent,15,1,1,measured_emulation,437858549170,437858608963,437858619422,437858619755,437858620255,437858641798,437858641881,437858643381,437858660423,437860913573,True,True,74,,,,
reactive_osken,28,1,1,measured_emulation,442749910055,,,,,,,,442750162104,442751860030,True,True,75,442749956515,442749957473,442749957640,442750154521
reactive_osken,4,1,1,measured_emulation,447804700183,,,,,,,,447804833229,447807251217,True,True,76,447804755852,447804757060,447804757268,447804825687
persistent,8,1,1,measured_emulation,455097542736,455097604363,455097616030,455097616405,455097616697,455097651614,455097651656,455097654781,455097675323,455099799594,True,True,77,,,,
reactive_osken,13,1,1,measured_emulation,460095924834,,,,,,,,460096091131,460098194359,True,True,78,460095980002,460095981252,460095981461,460096082714
process_per_rule,19,1,1,measured_emulation,465050271614,465050384950,465050407868,465050408951,465050409493,465064339527,465064339777,465064344860,465064393237,465066788599,True,True,79,,,,
persistent,12,1,1,measured_emulation,472330994724,472331140895,472331153270,472331153812,472331154353,472331169354,472331169396,472331170854,472331189896,472333283874,True,True,80,,,,
reactive_osken,1,1,1,measured_emulation,477186439408,,,,,,,,477186579871,477188577513,True,True,81,477186493785,477186494952,477186495202,477186571579
persistent,24,1,1,measured_emulation,484477078740,484477138283,484477149575,484477149992,484477150284,484477164492,484477164534,484477165992,484477183493,484478714038,True,True,82,,,,
process_per_rule,18,1,1,measured_emulation,489368957801,489369131723,489369151890,489369152807,489369153265,489381679339,489381679547,489381689214,489381751758,489383815777,True,True,83,,,,
persistent,17,1,1,measured_emulation,496641822824,496641887742,496641900409,496641900868,496641901243,496641928577,496641928618,496641930368,496641948286,496645363094,True,True,84,,,,
persistent,20,1,1,measured_emulation,503947825342,503947890509,503947902384,503947904759,503947905175,503947953884,503947953967,503947957800,503947978509,503950385674,True,True,85,,,,
process_per_rule,22,1,1,measured_emulation,508936817722,508936885972,508936901514,508936902222,508936902764,508948490519,508948491061,508948499519,508948551519,508950605478,True,True,86,,,,
persistent,11,1,1,measured_emulation,516257955581,516258133207,516258144790,516258145207,516258145707,516258256374,516258256415,516258258374,516258278874,516260860920,True,True,87,,,,
reactive_osken,19,1,1,measured_emulation,521279231935,,,,,,,,521279373810,521281230773,True,True,88,521279289977,521279291227,521279291477,521279365643
reactive_osken,11,1,1,measured_emulation,526218177951,,,,,,,,526218442994,526221572797,True,True,89,526218280452,526218282702,526218283285,526218427410
persistent,9,1,1,measured_emulation,533513652306,533513715640,533513727723,533513728182,533513728557,533513796724,533513796765,533513800432,533513819390,533515729149,True,True,90,,,,
