evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib,trial_index,block_position
measured_emulation,direct_ovs_cli,8,15,8,79009.895,9876.236875,1,29.630476,24576,225,1
measured_emulation,direct_osken,8,15,8,17059.532,2132.4415,1,29.653201000000003,24576,226,2
measured_emulation,daim_process_per_rule,8,15,8,104668.813,13083.601625,1,29.675246,24576,227,3
measured_emulation,daim_persistent,8,15,8,37705.064,4713.133,1,29.697493,24576,228,4
measured_emulation,daim_process_per_rule,16,15,16,202691.664,12668.229,1,29.734798,24576,229,1
measured_emulation,direct_ovs_cli,16,15,16,150799.517,9424.9698125,1,29.776654,24576,230,2
measured_emulation,direct_osken,16,15,16,41345.525,2584.0953125,1,29.815947,24576,231,3
measured_emulation,daim_persistent,16,15,16,96750.798,6046.924875,1,29.860708,24576,232,4
measured_emulation,direct_osken,32,15,32,154162.672,4817.5835,1,29.929852,24576,233,1
measured_emulation,daim_persistent,32,15,32,259312.217,8103.50678125,1,30.017380000000003,24576,234,2
measured_emulation,direct_ovs_cli,32,15,32,314516.813,9828.65040625,1,30.098333,24576,235,3
measured_emulation,daim_process_per_rule,32,15,32,414871.215,12964.72546875,1,30.182696,24576,236,4
measured_emulation,daim_persistent,64,15,64,790046.1849999999,12344.471640624999,1,30.346831,24576,237,1
measured_emulation,direct_ovs_cli,64,15,64,757530.664,11836.416625,1,30.510776999999997,24576,238,2
measured_emulation,direct_osken,64,15,64,754815.96,11793.999375,1,30.653914,24576,239,3
measured_emulation,daim_process_per_rule,64,15,64,992005.72,15500.089375,1,30.822352,24576,240,4
measured_emulation,direct_ovs_cli,8,16,8,81631.958,10203.99475,1,30.868584,24576,241,1
measured_emulation,daim_process_per_rule,8,16,8,104563.03,13070.37875,1,30.890902,24576,242,2
measured_emulation,daim_persistent,8,16,8,39607.158,4950.89475,1,30.915923,24576,243,3
measured_emulation,direct_osken,8,16,8,13711.044,1713.8805,1,30.940210999999998,24576,244,4
measured_emulation,direct_osken,16,16,16,45674.137,2854.6335625,1,30.980739,24576,245,1
measured_emulation,daim_persistent,16,16,16,95893.221,5993.3263125,1,31.025228,24576,246,2
measured_emulation,daim_process_per_rule,16,16,16,200751.70500000002,12546.981562500001,1,31.067659,24576,247,3
measured_emulation,direct_ovs_cli,16,16,16,148524.088,9282.7555,1,31.10938,24576,248,4
measured_emulation,daim_persistent,32,16,32,255526.562,7985.2050625,1,31.192850999999997,24576,249,1
