evidence_level,switch_count,method,repetition,measured,switch,direction,latency_us,returncode,stderr
measured_emulation_calibration,8,daim_adapter,3,1,s2,forward,12142.75,0,
measured_emulation_calibration,8,daim_adapter,3,1,s2,reverse,12697.834,0,
measured_emulation_calibration,8,daim_adapter,3,1,s3,forward,12109.334,0,
measured_emulation_calibration,8,daim_adapter,3,1,s3,reverse,12738.083,0,
measured_emulation_calibration,8,daim_adapter,3,1,s4,forward,13356.041,0,
measured_emulation_calibration,8,daim_adapter,3,1,s4,reverse,12024.875,0,
measured_emulation_calibration,8,daim_adapter,3,1,s5,forward,13229.792,0,
measured_emulation_calibration,8,daim_adapter,3,1,s5,reverse,12323.0,0,
measured_emulation_calibration,8,daim_adapter,3,1,s6,forward,12220.417,0,
measured_emulation_calibration,8,daim_adapter,3,1,s6,reverse,12633.541,0,
measured_emulation_calibration,8,daim_adapter,3,1,s7,forward,12672.125,0,
measured_emulation_calibration,8,daim_adapter,3,1,s7,reverse,12839.958,0,
measured_emulation_calibration,8,daim_adapter,3,1,s8,forward,12827.375,0,
measured_emulation_calibration,8,daim_adapter,3,1,s8,reverse,12554.834,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s1,forward,8880.958,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s1,reverse,9172.375,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s2,forward,9492.958,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s2,reverse,9403.083,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s3,forward,9196.042,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s3,reverse,9884.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s4,forward,9741.416,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s4,reverse,9117.667,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s5,forward,9834.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s5,reverse,9163.916,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s6,forward,9058.584,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s6,reverse,9081.75,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s7,forward,9281.209,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s7,reverse,9039.875,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s8,forward,9667.375,0,
measured_emulation_calibration,8,direct_ovs_ofctl,3,1,s8,reverse,9554.792,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s1,forward,9704.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s1,reverse,9358.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s2,forward,9775.708,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s2,reverse,9525.667,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s3,forward,9478.5,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s3,reverse,9727.375,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s4,forward,9614.0,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s4,reverse,9429.666,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s5,forward,9814.542,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s5,reverse,9508.75,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s6,forward,8757.125,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s6,reverse,9408.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s7,forward,9394.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s7,reverse,9710.5,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s8,forward,9304.292,0,
measured_emulation_calibration,8,direct_ovs_ofctl,4,1,s8,reverse,9553.0,0,
measured_emulation_calibration,8,daim_adapter,4,1,s1,forward,13064.958,0,
measured_emulation_calibration,8,daim_adapter,4,1,s1,reverse,12554.125,0,
measured_emulation_calibration,8,daim_adapter,4,1,s2,forward,12330.625,0,
measured_emulation_calibration,8,daim_adapter,4,1,s2,reverse,12152.0,0,
measured_emulation_calibration,8,daim_adapter,4,1,s3,forward,14461.583,0,
measured_emulation_calibration,8,daim_adapter,4,1,s3,reverse,13034.541,0,
measured_emulation_calibration,8,daim_adapter,4,1,s4,forward,12571.708,0,
measured_emulation_calibration,8,daim_adapter,4,1,s4,reverse,12255.625,0,
